metric,joint1,joint2,joint3,joint4,joint5,joint6,joint_left,joint_right
newton_sin_rms_err,0.010819,0.005655,0.006745,0.010821,0.011285,0.012687,0.001526,0.001553
physx_sin_rms_err,0.008938,0.00478,0.005491,0.008942,0.009341,0.010531,0.001527,0.001543
newton_sin_max_abs_err,0.017104,0.009809,0.011413,0.017332,0.017767,0.01976,0.002668,0.002717
physx_sin_max_abs_err,0.012828,0.008047,0.008566,0.012944,0.013287,0.014969,0.00267,0.002693
newton_amp_ratio,0.998581,0.999697,0.999441,0.998616,0.998461,0.998074,0.791038,1.146618
physx_amp_ratio,0.99866,1.001163,0.999647,0.998999,0.99921,0.998623,0.7908,1.146522
newton_phase_lag_deg,2.908552,1.498911,1.798011,2.908656,3.03536,3.416132,-0.281861,1.360849
physx_phase_lag_deg,2.414315,1.21194,1.46903,2.415178,2.523751,2.845505,-0.162527,1.093683
newton_hold_drift_max,0.0,0.00646,0.007962,0.00023,0.0,3e-06,5.7e-05,8.2e-05
physx_hold_drift_max,0.000117,0.002421,0.005901,0.00023,2e-06,3e-06,2.5e-05,3.6e-05

step_metric,newton,physx
overshoot_pct,-0.00017881393432617188,-0.030118227005004883
settle_time_s,0.066,0.056
final_err_rad,8.940696716308594e-07,0.00015059113502502441
